time_sec,gps_recentLatitudeN,gps_recentLongitudeE,gps_horizontalAccuracy_mm,gps_verticalAccuracy_mm,gps_vehicleHeading_degs,gps_headingAccuracyEstimate_degs,compass_heading_degs
1686563166.657918,13.648614,100.4649567,14,10,205.91654,21.96577,250.14
1686563167.7271934,13.6486128,100.4649552,14,10,245.8217,16.28141,248.2
1686563168.803555,13.6486117,100.4649528,14,10,257.93344,15.31608,253.44
1686563169.8755565,13.6486109,100.4649505,14,10,227.03076,22.92782,270.0
1686563170.9499125,13.6486087,100.4649481,14,10,235.75964,9.85157,290.85
1686563172.0196104,13.6486083,100.4649471,14,10,271.77148,22.03047,305.1
1686563173.0926335,13.6486082,100.4649453,14,10,258.85716,20.09084,323.62
1686563174.15783,13.648609,100.4649424,14,10,307.76284,19.59316,348.93
1686563175.2398994,13.6486106,100.4649405,14,10,314.3063,14.86376,352.57
1686563176.3099813,13.6486143,100.4649388,14,10,352.48972,18.20505,352.57
1686563177.3745444,13.6486168,100.4649387,14,10,9.06564,13.08628,347.47
1686563178.4392512,13.6486185,100.4649393,14,10,192.58428,120.26052,341.18
1686563179.506264,13.6486224,100.4649389,14,10,358.85488,12.4201,340.02
1686563180.5800622,13.6486254,100.4649383,14,10,339.10724,13.50552,339.59
1686563181.6509438,13.6486291,100.4649368,14,10,316.40452,14.28327,341.18
1686563182.7195175,13.6486293,100.4649364,14,10,201.11058,143.77954,342.35
1686563183.7827713,13.6486291,100.4649363,14,10,3.62379,103.43618,341.18
1686563184.8470123,13.6486292,100.4649363,14,10,3.62379,52.55315,341.18
1686563185.9125984,13.6486329,100.4649353,14,10,351.01164,12.19589,340.02
1686563186.9806662,13.6486358,100.4649341,14,10,332.98326,12.3739,341.18
1686563188.0566792,13.6486373,100.4649335,14,10,303.4781,180.0,340.02
1686563189.1216226,13.6486373,100.4649335,14,10,303.4781,180.0,347.74
1686563190.1853344,13.6486373,100.4649335,14,10,303.4781,134.41714,347.74
1686563191.2502196,13.6486371,100.4649336,14,10,303.4781,119.92122,347.74
1686563192.316832,13.6486372,100.4649338,14,10,359.5226,44.50619,351.35
1686563193.3855293,13.6486377,100.4649339,14,10,175.61828,145.66664,352.57
1686563194.4606552,13.648638,100.4649339,14,10,170.73334,38.38681,352.57
1686563195.5270927,13.6486394,100.4649339,14,10,26.81154,55.69963,350.13
1686563196.5902274,13.6486401,100.4649338,14,10,352.05444,18.47355,352.57
1686563197.6516206,13.648643,100.4649334,14,10,359.6532,10.8621,353.8
1686563198.7165246,13.6486486,100.4649323,14,10,330.6618,13.74361,353.8
1686563199.7815008,13.6486507,100.4649318,14,10,24.93727,16.09646,347.74
1686563200.846524,13.6486536,100.4649317,14,10,10.01867,15.47475,345.07
1686563201.921604,13.6486576,100.4649312,14,10,340.35252,16.0157,346.55
1686563202.9880824,13.6486609,100.4649305,14,10,328.18494,10.82015,345.38
1686563204.0520694,13.6486657,100.4649288,14,10,323.2155,13.06087,344.22
1686563205.1197286,13.6486676,100.4649281,14,10,349.6992,10.65087,344.22
1686563206.1843436,13.648673,100.4649265,14,10,320.5367,16.80039,344.22
1686563207.2427716,13.6486745,100.4649261,14,10,347.87608,50.69185,344.22
1686563208.3038478,13.6486754,100.4649257,14,10,352.59064,83.42246,344.22
1686563209.365184,13.6486754,100.4649257,14,10,352.59064,171.11242,344.22
1686563210.4251583,13.6486754,100.4649257,14,10,352.59064,131.22278,344.22
1686563211.4897242,13.6486754,100.4649257,14,10,352.59064,180.0,344.22
1686563212.555604,13.6486754,100.4649257,14,10,352.59064,180.0,344.22
1686563213.6177688,13.6486754,100.4649257,14,10,352.59064,180.0,344.22
1686563214.6796656,13.6486753,100.4649257,14,10,352.59064,180.0,344.22
1686563215.7396333,13.6486753,100.4649257,14,10,352.59064,180.0,344.22
1686563216.824416,13.6486753,100.4649257,14,10,352.59064,180.0,344.22
1686563217.9059644,13.6486753,100.4649257,14,10,352.59064,180.0,344.22
1686563218.9660227,13.6486753,100.4649257,14,10,352.59064,180.0,344.22
1686563220.0503366,13.6486753,100.4649257,14,10,352.59064,180.0,344.22
1686563221.1353147,13.6486753,100.4649257,14,10,352.59064,180.0,344.22
